#,German,English,Srpski
3828,die Übernahme; -n,"the takeover, acquisition","Преузимање, набавка"
3829,ein Stück Kuchen,a piece of cake,комад торте
3830,Es kommt darauf an ...,It depends on ...,Зависи од ...
3831,der Eiserne Vorhang,the Iron Curtain (no plural),Гвоздена завеса (без множине)
3832,sich fühlen,to feel ('sich _'),да осетим ('сицх _')
3833,Toll!,Great! Cool! ('T_'),Велики! Хладан! ('Т_')
3834,der Fahrradverleih; -e,the bike rental,Изнајмљивање бицикла
3835,die UV-Strahlen,the UV-rays (plural only),УВ-зраци (само множини)
3836,solch ein,such a,такав
3837,die Bedingung; -en,"the condition, requirement, term, stipulation, prerequisite ('B_')","Услов, захтев, израз, одредба, предуслов ('б_')"
3838,fragen nach,to ask about,да питам о
3839,verantworten,to take responsibility (one word),да преузме одговорност (једна реч)
3840,das Rätsel; -,"the riddle, conundrum, mystery, puzzle, enigma","Загонетка, загонетка, мистерија, загонетка, Енигма"
3841,nützlich,useful,корисно
3842,das gekochte Ei; -er,the boiled egg,кувано јаје
3843,die Reichweite,"range, reach","домет, досегните"
3844,Das stimmt.,That's right.,Тако је.
3845,die Bermudashorts,the Bermuda shorts (no plural),Бермудски шортс (без множине)
3846,Recht haben,to be right ('R~') (idiom),бити у праву ('р ~') (идиом)
3847,das Rote Kreuz,the Red Cross (no plural),Црвени крст (без множине)
3848,entwickeln,"to develop, evolve, devise, generate, process, design","да се развију, развијају, осмисли, генеришу, процесуирају, дизајн"
3849,jemand anders,somebody else,неко други
3850,die Jobliste; -n,the list of jobs,Листа послова
3851,sich von etwas erholen,"to recover from sth, to get over sth (flue, shock, etc.) (4 words)","да се опорави од стх, да пређете са стх (дим, шок итд.) (4 речи)"
3852,fertig lesen,to finish reading,да завршим читање
3853,von unten,"from below, underarm (pitch/throw, in baseball) from the bottom (up),","одоздо, подрурки (нагиб / бацање, у бејзболу) са дна (горе),"
3854,außer Betrieb,out of order,неисправно
3855,der Rabatt; -e,the discount (R_),Попуст (Р_)
3856,unter vier Augen,"in private, face to face, between you and me","приватно, лицем у лице, између тебе и мене"
3857,die Zusammenfassung; -en,the summary,Резиме
3858,das Känguru; -s,the kangaroo,кенгур
3859,fett gedruckt,in bold type,у подебљаном типу
3860,gnadenlos,"merciless, mercilessly, pitiless, ruthless, unforgiving","немилосрдно, немилосрдно, зачишћена, безобзирна, неумољива"
3861,die Öffentlichkeit; -en,the public; the publicity,јавност; публицитет
3862,im Erdgeschoss,on the first (ground) floor,На првом (тлом) поду
3863,wir kommen zu viert,the four of us are coming,нас четворо долази
3864,westlich (von),west (of),Запад (од)
3865,der Softdrink; -s,the soft drink,безалкохолно пиће
3866,Das macht nichts!,That doesn't matter!,То није важно!
3867,die Sportreportage,the sports report (no plural),Спортски извештај (без множине)
3868,zehn Uhr,ten o'clock,десет сати
3869,stumpf,"blunt, dull, lackluster, tarnished","туп, досадан, недостатак, укрцавање"
3870,die Asche; -n,"the ash, cinder","пепео, пепео"
3871,Ferien machen,to go on vacation,ићи на одмор
3872,sich benehmen,to behave (not 'sich verhalten'),да се понаша (не 'сицх верхалтен')
3873,das Weltmeer; -e,the ocean ('W_'),океан ('в_')
3874,der Klavierlehrer; -,the piano teacher,клавирски учитељ
3875,ehrgeizig,"ambitious, driven, ambitiously","амбициозан, возио, амбициозно"
3876,sich die Haare färben,to dye one's hair,да обоји нечију косу
3877,Servus!,Hi! or Bye! (heard in Austria and Bavaria) ('S_'),Здраво! Или збогом! (чуо у Аустрији и Баварској) ('С_')
3878,Liebe Grüße,Love (closing of a letter),Љубав (затварање слова)
3879,die E-Mail; -s,the email,имејл
3880,bereits,"already, as early as, even (even a little helps) ('b_')","Већ, већ и рано, чак и (чак и мало помаже) ('Б_')"
3881,Wie geht es Ihnen?,How are you? (formal),Како си? (формално)
3882,Guten Appetit!,Enjoy your meal!,Пријатно!
3883,sich entspannen,"to relax, to rest ('sich ausruhen' or 'sich_')","да се опустите, да се одмори (""сицх аусрухен"" или 'сицх_')"
3884,Das kommt nicht in Frage!,That's out of the question!,То је не долази у обзир!
3885,die Geigerin; -nen,the female violinist,женка виолиниста
3886,entweder ... oder ...,either ... or ...,или или ...
3887,rein,"pure, sheer, purely, mere, clean","чиста, чиста, чисто, пука, чиста"
3888,melden,"to report (sth), announce, notify, signal, message (sb)","Да бисте извештавали (стх), најавите, обавештавају, сигнализирајте, поруку (СБ)"
3889,berühren,"to touch, to concern, affect (sb) esp. emotionally, to meet (requirements, norms,
etc.)","Да бисте додирнули, забринуто, утицали (СБ) ЕСП. емоционално, да се састане (захтеви, норме,
итд.)"
3890,am schwarzen Brett,on the bulletin board,на огласној плочи
3891,eine Alleinerziehende Mutter,a single mother,самохрана мајка
3892,Ich habe es satt.,I'm sick of it. I'm fed up with it. ('Ich_'),Мука ми је од тога. Досадила сам се с тим. ('Ицх_')
3893,anmelden,"to register, subscribe, announce, notify, enroll","да се региструјете, претплатите се, најавите, обавестите, упишите се"
3894,um die Ecke,around the corner,иза угла
3895,der Fachmann; - Fachleute,"specialist, expert, professional","Специјалистички, стручни, професионални"
3896,vermeintlich,"allegedly, alleged, supposed, reputed, perceived ('v_')","Наводно, наводно, претпостављени, угледни, перципирани ('В_')"
3897,die Spielwaren,"the toys ('Spielsachen,' 'Spielzeuge,' or ...)","Играчке ('Спиелсацхен,' 'Спиелзеуге,' или ...)"
3898,rund um,"round, around (the clock care, service) (2 part phrase)","округли, около (нега сата, услуга) (2 дела фразе)"
3899,der Österreicher; -,the Austrian person,Аустријска особа
3900,Wann bist du geboren?,"When were you born? ('du"" form)","Када сте рођени? (""Ду"" образац)"
3901,eingehen,"to shrink (cloth), arrive, enter","да се смањи (крпа), стигне, уђи"
3902,woran,"whereof, of which, by which, on what","о чему, од чега, од чега, на шта"
3903,der Schauspieler; -,"the actor, comedian, showman (not 'D...')","Глумац, комичар, сховман (није 'д ...')"
3904,daheim,"home, at home ('d_')","Почетна, код куће ('д_')"
3905,zwar ... aber ...,it's true that ... but ...,Истина је да ... али ...
